"DLPE    ","H12S    ","HAL     ","  0.0900"
"DLPE    ","H12T    ","HAL     ","  0.0900"
"DLPE    ","C33     ","CTL2    "," -0.1800"
"DLPE    ","H3X     ","HAL     ","  0.0900"
"DLPE    ","H3Y     ","HAL     ","  0.0900"
"DLPE    ","C34     ","CTL2    "," -0.1800"
"DLPE    ","H4X     ","HAL     ","  0.0900"
"DLPE    ","H4Y     ","HAL     ","  0.0900"
"DLPE    ","C35     ","CTL2    "," -0.1800"
"DLPE    ","H5X     ","HAL     ","  0.0900"
"DLPE    ","H5Y     ","HAL     ","  0.0900"
"DLPE    ","C36     ","CTL2    "," -0.1800"
"DLPE    ","H6X     ","HAL     ","  0.0900"
"DLPE    ","H6Y     ","HAL     ","  0.0900"
"DLPE    ","C37     ","CTL2    "," -0.1800"
"DLPE    ","H7X     ","HAL     ","  0.0900"
"DLPE    ","H7Y     ","HAL     ","  0.0900"
"DLPE    ","C38     ","CTL2    "," -0.1800"
"DLPE    ","H8X     ","HAL     ","  0.0900"
"DLPE    ","H8Y     ","HAL     ","  0.0900"
"DLPE    ","C39     ","CTL2    "," -0.1800"
"DLPE    ","H9X     ","HAL     ","  0.0900"
"DLPE    ","H9Y     ","HAL     ","  0.0900"
"DLPE    ","C310    ","CTL2    "," -0.1800"
"DLPE    ","H10X    ","HAL     ","  0.0900"
"DLPE    ","H10Y    ","HAL     ","  0.0900"
"DLPE    ","C311    ","CTL2    "," -0.1800"
"DLPE    ","H11X    ","HAL     ","  0.0900"
"DLPE    ","H11Y    ","HAL     ","  0.0900"
"DLPE    ","C312    ","CTL3    "," -0.2700"
"DLPE    ","H12X    ","HAL     ","  0.0900"
"DLPE    ","H12Y    ","HAL     ","  0.0900"
"DLPE    ","H12Z    ","HAL     ","  0.0900"
"DMPC    ","N       ","NTL     "," -0.6000"
"DMPC    ","C13     ","CTL3    "," -0.3500"
"DMPC    ","H13A    ","HL      ","  0.2500"
"DMPC    ","H13B    ","HL      ","  0.2500"
"DMPC    ","H13C    ","HL      ","  0.2500"
"DMPC    ","C14     ","CTL3    "," -0.3500"
"DMPC    ","H14A    ","HL      ","  0.2500"
"DMPC    ","H14B    ","HL      ","  0.2500"
"DMPC    ","H14C    ","HL      ","  0.2500"
"DMPC    ","C15     ","CTL3    "," -0.3500"
"DMPC    ","H15A    ","HL      ","  0.2500"
"DMPC    ","H15B    ","HL      ","  0.2500"
"DMPC    ","H15C    ","HL      ","  0.2500"
"DMPC    ","C12     ","CTL2    "," -0.1000"
"DMPC    ","H12A    ","HL      ","  0.2500"
"DMPC    ","H12B    ","HL      ","  0.2500"
"DMPC    ","C11     ","CTL2    "," -0.0800"
"DMPC    ","H11A    ","HAL     ","  0.0900"
"DMPC    ","H11B    ","HAL     ","  0.0900"
"DMPC    ","P       ","PL      ","  1.5000"
"DMPC    ","O13     ","O2L     "," -0.8000"
"DMPC    ","O14     ","O2L     "," -0.8000"
"DMPC    ","O11     ","OSL     "," -0.5500"
"DMPC    ","O12     ","OSL     "," -0.5500"
"DMPC    ","C1      ","CTL2    "," -0.0800"
"DMPC    ","HA      ","HAL     ","  0.0900"
"DMPC    ","HB      ","HAL     ","  0.0900"
"DMPC    ","C2      ","CTL1    ","  0.0400"
"DMPC    ","HS      ","HAL     ","  0.0900"
"DMPC    ","O21     ","OSL     "," -0.3400"
"DMPC    ","C21     ","CL      ","  0.6300"
"DMPC    ","O22     ","OBL     "," -0.5200"
"DMPC    ","C22     ","CTL2    "," -0.0800"
"DMPC    ","H2R     ","HAL     ","  0.0900"
"DMPC    ","H2S     ","HAL     ","  0.0900"
"DMPC    ","C3      ","CTL2    "," -0.0500"
"DMPC    ","HX      ","HAL     ","  0.0900"
"DMPC    ","HY      ","HAL     ","  0.0900"
"DMPC    ","O31     ","OSL     "," -0.3400"
"DMPC    ","C31     ","CL      ","  0.6300"
"DMPC    ","O32     ","OBL     "," -0.5200"
"DMPC    ","C32     ","CTL2    "," -0.0800"
"DMPC    ","H2X     ","HAL     ","  0.0900"
"DMPC    ","H2Y     ","HAL     ","  0.0900"
"DMPC    ","C23     ","CTL2    "," -0.1800"
"DMPC    ","H3R     ","HAL     ","  0.0900"
"DMPC    ","H3S     ","HAL     ","  0.0900"
"DMPC    ","C24     ","CTL2    "," -0.1800"
"DMPC    ","H4R     ","HAL     ","  0.0900"
"DMPC    ","H4S     ","HAL     ","  0.0900"
"DMPC    ","C25     ","CTL2    "," -0.1800"
"DMPC    ","H5R     ","HAL     ","  0.0900"
"DMPC    ","H5S     ","HAL     ","  0.0900"
"DMPC    ","C26     ","CTL2    "," -0.1800"
"DMPC    ","H6R     ","HAL     ","  0.0900"
"DMPC    ","H6S     ","HAL     ","  0.0900"
"DMPC    ","C27     ","CTL2    "," -0.1800"
"DMPC    ","H7R     ","HAL     ","  0.0900"
"DMPC    ","H7S     ","HAL     ","  0.0900"
"DMPC    ","C28     ","CTL2    "," -0.1800"
"DMPC    ","H8R     ","HAL     ","  0.0900"
"DMPC    ","H8S     ","HAL     ","  0.0900"
"DMPC    ","C29     ","CTL2    "," -0.1800"
"DMPC    ","H9R     ","HAL     ","  0.0900"
"DMPC    ","H9S     ","HAL     ","  0.0900"
"DMPC    ","C210    ","CTL2    "," -0.1800"
"DMPC    ","H10R    ","HAL     ","  0.0900"
"DMPC    ","H10S    ","HAL     ","  0.0900"
"DMPC    ","C211    ","CTL2    "," -0.1800"
"DMPC    ","H11R    ","HAL     ","  0.0900"
"DMPC    ","H11S    ","HAL     ","  0.0900"
"DMPC    ","C212    ","CTL2    "," -0.1800"
"DMPC    ","H12R    ","HAL     ","  0.0900"
"DMPC    ","H12S    ","HAL     ","  0.0900"
"DMPC    ","C213    ","CTL2    "," -0.1800"
"DMPC    ","H13R    ","HAL     ","  0.0900"
"DMPC    ","H13S    ","HAL     ","  0.0900"
"DMPC    ","C214    ","CTL3    "," -0.2700"
"DMPC    ","H14R    ","HAL     ","  0.0900"
"DMPC    ","H14S    ","HAL     ","  0.0900"
"DMPC    ","H14T    ","HAL     ","  0.0900"
"DMPC    ","C33     ","CTL2    "," -0.1800"
"DMPC    ","H3X     ","HAL     ","  0.0900"
"DMPC    ","H3Y     ","HAL     ","  0.0900"
"DMPC    ","C34     ","CTL2    "," -0.1800"
"DMPC    ","H4X     ","HAL     ","  0.0900"
"DMPC    ","H4Y     ","HAL     ","  0.0900"
"DMPC    ","C35     ","CTL2    "," -0.1800"
"DMPC    ","H5X     ","HAL     ","  0.0900"
"DMPC    ","H5Y     ","HAL     ","  0.0900"
