"ASH     ","C       ","C       ","  0.5973","GROUP1 1"
"ASH     ","O       ","O       "," -0.5679","GROUP1 1"
"GLH     ","N       ","N       "," -0.4157","GROUP1 1"
"GLH     ","H       ","H       ","  0.2719","GROUP1 1"
"GLH     ","CA      ","CT      ","  0.0145","GROUP1 1"
"GLH     ","HA      ","H1      ","  0.0779","GROUP1 1"
"GLH     ","CB      ","CT      "," -0.0071","GROUP1 1"
"GLH     ","HB2     ","HC      ","  0.0256","GROUP1 1"
"GLH     ","HB3     ","HC      ","  0.0256","GROUP1 1"
"GLH     ","CG      ","CT      "," -0.0174","GROUP1 1"
"GLH     ","HG2     ","HC      ","  0.0430","GROUP1 1"
"GLH     ","HG3     ","HC      ","  0.0430","GROUP1 1"
"GLH     ","CD      ","C       ","  0.6801","GROUP1 1"
"GLH     ","OE1     ","O       "," -0.5838","GROUP1 1"
"GLH     ","OE2     ","OH      "," -0.6511","GROUP1 1"
"GLH     ","HE2     ","HO      ","  0.4641","GROUP1 1"
"GLH     ","C       ","C       ","  0.5973","GROUP1 1"
"GLH     ","O       ","O       "," -0.5679","GROUP1 1"
"IP      ","NA+     ","IP      ","  1.0000","GROUP1 1"
"IM      ","CL-     ","IM      "," -1.0000","GROUP1 1"
"DA5     ","H5T     ","HO      ","  0.4422","GROUP1 1"
"DA5     ","O5'     ","OH      "," -0.6318","GROUP1 1"
"DA5     ","C5'     ","CT      "," -0.0069","GROUP1 1"
"DA5     ","H5'1    ","H1      ","  0.0754","GROUP1 1"
"DA5     ","H5'2    ","H1      ","  0.0754","GROUP1 1"
"DA5     ","C4'     ","CT      ","  0.1629","GROUP1 1"
"DA5     ","H4'     ","H1      ","  0.1176","GROUP1 1"
"DA5     ","O4'     ","OS      "," -0.3691","GROUP1 1"
"DA5     ","C1'     ","CT      ","  0.0431","GROUP1 1"
"DA5     ","H1'     ","H2      ","  0.1838","GROUP1 1"
"DA5     ","N9      ","N*      "," -0.0268","GROUP1 1"
"DA5     ","C8      ","CK      ","  0.1607","GROUP1 1"
"DA5     ","H8      ","H5      ","  0.1877","GROUP1 1"
"DA5     ","N7      ","NB      "," -0.6175","GROUP1 1"
"DA5     ","C5      ","CB      ","  0.0725","GROUP1 1"
